State,District,Latitude,Longitude,District code,Population,ST,SC,Workers,Male_Workers,Female_Workers,house_electricity,house_internet,Graduate_Education,sex_ratio,literacy_rate,Muslim_rate,Non_Muslim_rate
Andhra Pradesh,Adilabad,19.284513950073435,78.81321233480176,532,2741239,495794,488596,1323667,748939,574728,566108,5512,100226,99.85090861901284,54.112282803506005,10.067345459480185,87.54803940845727
Andhra Pradesh,Anantapur,14.312065561843148,77.4601584478577,553,4081148,154127,583135,2036166,1208544,827622,897970,8606,144915,102.37234665557237,56.62524368143473,10.865962224354519,88.19508628454543
Andhra Pradesh,Chittoor,13.33109263067696,78.92763898886037,554,4174064,159165,785760,1933357,1202223,731134,944555,13763,246409,100.30443503882218,63.915598802509976,9.531957344209383,89.54314068974504
Andhra Pradesh,East Godavari,16.782718320784902,82.2432074720511,545,5154296,213195,945269,2093681,1545831,547850,1297273,22411,263023,99.42273644591366,63.80264152466215,1.5089742614704316,96.68303876998915
Andhra Pradesh,Guntur,15.884925767634847,80.58657614107885,548,4887813,247089,957407,2381624,1442370,939254,1186028,19383,221924,99.72332684452856,60.56780404651324,11.452361209399786,86.28801879286299
Andhra Pradesh,Hyderabad,17.38971555555556,78.46668888888888,536,3943323,48937,247927,1413297,1045585,367712,869721,149034,558090,104.87476802157998,73.34309160066269,43.45079010773401,51.88646732717558
Andhra Pradesh,Karimnagar,18.515483193277312,79.43765428571413,534,3776269,106745,709757,1876768,1049463,827305,926768,8831,256633,99.22610182493092,58.43940143035361,6.48054998200605,92.44942561030477
Andhra Pradesh,Khammam,17.683921325051784,80.67008643892335,541,2797370,765565,462896,1410062,802906,607156,668519,8628,160804,98.9054183002911,58.27738196949277,5.679870735726772,92.77717999406585
Andhra Pradesh,Krishna,16.143872753151673,81.14805061000413,547,4517398,132464,871063,2048880,1327299,721581,1163932,30438,328454,100.7711921167028,66.62503503122815,6.796899454066256,89.07069954872252
Andhra Pradesh,Kurnool,15.43759715142429,77.90086836581717,552,4053463,82831,737945,2029425,1164122,865303,816721,10081,115504,101.24071856525254,52.47762222080231,16.547258479971326,82.11201138384635
Andhra Pradesh,Mahbubnagar,16.639546224256293,77.98933089244859,538,4053028,364269,708954,2082501,1140067,942434,757821,6153,98227,102.38405066906617,47.881386459703705,8.24499608687628,90.63485374391689
Andhra Pradesh,Medak,17.889304978038055,78.13778901903379,535,3033288,168985,537947,1442203,837874,604329,604719,8635,127493,100.84568332033335,53.972356070376435,11.28969619765746,86.94568402340957
